PERSON,Count
mike,8629
jim,7770
joe,5802
covid-19,5741
david,5580
carl,4043
♪ ♪,3866
michael,3415
steve,3360
max,3187
taylor,2662
john,2553
rick,2517
joe biden,2307
andrew,2033
tim,1994
chris,1850
brian,1813
jeff,1768
jim cramer,1457
dan,1440
mike santoli,1311
lisa,1213
dave,1157
nancy,1091
moderna,1088
tom,1063
jimmy,1061
larry,1029
kevin,1027
paul,1027
sam,1022
phil lebeau,994
ethan,912
jerry,847
mnuchin,842
erik,819
monica,813
ben,796
dr.,794
kelly,780
jay powell,770
carl quintanilla,734
rick santelli,728
matt,715
andrew ross,715
joe kernen,712
warren,711
powell,704
diana,690
brian sullivan,682
kim,665
donald trump,642
phil,633
bernie,629
usaa,617
fauci,615
jennifer,600
jim.,594
scott gottlieb,579
trump,572
david faber,564
matthew,555
peter,545
biden,537
mark zuckerberg,533
scott,517
alex,504
corey,496
tony,496
tim cook,475
lulu,474
melissa lee,463
karen,463
sarah,461
steve liesman,454
austin,450
jpmorgan,438
mitch mcconnell,437
robert,436
patrick,430
erica,424
susana,414
x1,410
marijuana,408
charlie,408
larry kudlow,406
giovanni,404
nick,397
scott wapner,395
alan,393
bloomberg,389
joe t.:,387
gottlieb,383
♪ liberty,379
bob pisani,378
eric,377
kohl,369
anthony,369
miguel,365
lee,365
julianna tatelbaum,356
dante,352
chuck,351
jack,350
tyler,343
josh lipton,342
bob,339
josh brown,339
tim seymour,338
doug,336
zuckerberg,335
boris johnson,321
mcconnell,320
jessica,315
steven mnuchin,315
martin,314
johnson,313
julia boorstin,306
josh,306
♪ ♪ ♪,299
elizabeth warren,297
etfs,293
jamie dimon,289
kathleen,288
mike bloomberg,280
secretary,279
abbott,275
carter,271
edward jones,269
kamala harris,259
tonnie,255
anna,253
jeff bezos,252
williams,252
george floyd,251
richard,251
nancy pelosi,251
mike khouw,251
tom lee,244
babe ♪ ♪,243
joe biden's,241
joseph,240
kyle,237
thinkorswim,234
melissa,232
jenny,225
q4,225
steve weiss,224
mel,223
simon,222
aflac,221
robin,221
laurie,220
lacey,219
jonathan,216
steve grasso,216
putin,210
dan nathan,209
juli,208
thinkorswim mobile-,207
jason,207
andrea,206
bush,202
robert frank,202
barry,202
karen finerman,198
jerome powell,195
julia,194
kristin,193
allison,187
mm,186
george,186
eamon javers,185
j&j,184
contessa,183
mike wilson,182
jimmy chill,180
aristotle,179
janet yellen,178
brian kelly,173
craig,172
alison,172
chuck schumer,171
scott gottleib,169
hillary clinton,168
ken,168
pete,165
apps,162
steve mnuchin,162
jordan,161
james,160
elliott,160
andrew cuomo,158
stephanie,157
courtney reagan,157
bernie sanders,155
dean,155
president,155
craig melvin,154
myww,153
matthew:,153
cindy,152
kate,149
howard,145
jack dorsey,145
andrew.,145
michael bloomberg,144
al,144
cramer,143
chad,141
cory,137
glenn,136
wendy,134
jamie,134
diana olick,134
green,133
anthony fauci,131
mary ellen,131
god,130
farrell,129
lynn,127
clinton,127
michael jordan,127
abbott labs,127
dana-faber,126
chairman,125
dave calhoun,123
brad,123
kevin mccarthy,122
mike pence,122
nicolas,121
kevin johnson,121
mary lou,120
barr,120
koala kai,119
frank holland,118
lauri,118
jim an,118
coney barrett,118
gary kelly,117
jon,117
okey,116
adelo,116
nos comprometemos,115
amanda,115
nelson,115
bill ackman,114
kevin o'leary,114
guy adami,113
