PERSON,Count
wolf,10795
george zimmerman,7132
♪ ♪,7061
chris,5960
obama,5836
trayvon martin,5209
john,5183
anderson,4445
marijuana,4077
jim,4021
paul,3490
martin,3152
joe,2959
clinton,2849
hillary clinton,2829
david,2791
mike,2752
bush,2727
john boehner,2583
john kerry,2356
michael,2271
nelson mandela,2081
dana bash,2052
putin,2020
brian,2011
don,1997
ariel castro,1903
usaa,1889
kerry,1874
john berman,1872
tom,1831
castro,1782
anderson cooper,1781
jeff,1670
george,1658
william,1654
john mccain,1627
bill clinton,1620
dana,1598
harry reid,1582
sanjay gupta,1581
chris christie,1520
trayvon martin's,1501
angie,1499
zimmerman,1491
george zimmerman's,1476
joe biden,1475
brooke baldwin,1441
michael jackson,1436
chris cuomo,1430
tamerlan tsarnaev,1331
chuck hagel,1329
dr.,1297
anthony,1288
don lemon,1249
kennedy,1244
kim jong-un,1229
dzhokhar tsarnaev,1217
christopher,1200
gloria,1199
nick,1181
barbara starr,1166
ben,1158
pope francis,1128
kate,1111
max,1101
edward snowden,1100
rand paul,1073
mandela,1068
diana,1059
larry,1056
amanda berry,1035
sarah,1032
kevin,1012
susan,1003
god,990
chris lawrence,985
reagan,972
jesus,970
jim acosta,967
john king,951
jay carney,942
miguel,940
joe johns,933
paula,919
jackson,898
peter,893
martin savidge,889
pamela brown,882
george w. bush,879
brianna keilar,879
vladimir putin,877
tom foreman,874
johnson,872
alison kosik,869
alison,869
michelle knight,847
marco rubio,842
ethan,826
randi kaye,823
cialis tadalafil,816
matt,797
jimmy,795
dan,786
victor blackwell,773
george howell,772
tim,769
jessica,766
nick valencia,753
elizabeth,747
hannah,745
mitt romney,744
nancy,741
miguel marquez,738
bob,733
michaela pereira,732
elizabeth cohen,725
eric,704
aaron,697
michelle obama,695
graham,685
gloria borger,677
jfk,670
jeffrey toobin,666
bashar al assad,658
wayne williams,654
oprah,646
christine romans,645
mark o'mara,622
erin burnett,620
boehner,619
williams,614
jessica yellin,610
rick,597
wiggle,594
jack,584
kim,584
tsarnaev,583
phil,577
mitch mcconnell,570
zoraida sambolin,569
eric holder,567
michael jackson's,555
kathleen sebelius,553
cymbalta,550
paul ryan,550
barbara,548
hannah anderson,542
advair,542
andy,541
deborah,541
sarah palin,538
aaron hernandez,530
brooke,525
dennis rodman,524
dan simon,521
discontinue androgel,521
jason,520
jeanne moos,519
alex rodriguez,519
peter king,517
warren,516
ashleigh banfield,514
dave,509
prince william,504
president,504
kyung lah,497
ronald reagan,495
ariel castro's,494
nixon,494
margaret,492
patrick,461
bloomberg,461
lee,455
michael bloomberg,452
conrad murray,450
osama bin laden,448
bin laden,446
mccain,442
oprah winfrey,440
gary tuchman,435
james dimaggio,432
kendrick,428
alex,427
jeffrey,418
joe carter,410
john zarrella,407
dragon,404
neil,404
taylor,402
cheney,400
james holmes,400
richard,396
candy crowley,395
dick cheney,394
lebron james,392
rachel nichols,392
james,391
robert,390
harry,388
john f. kennedy,387
dan lothian,382
biden,382
aer anbrake,382
heartburn,379
britta olsen,375
pamela,373
john.,367
davis,366
chad myers,366
rachel jeantel,366
jason carroll,364
kyle,362
max foster,361
ben bernanke,360
don west,359
