PERSON,Count
steve,28595
brian,26152
ainsley,23007
donald trump,21232
abby,15766
hillary clinton,12885
eric,11509
neil,11149
martha,11015
dana,9709
trump,9299
chris,8618
clinton,8573
♪ ♪,8046
mike,7103
harris,7031
james comey,6139
jeff,5475
tucker,5422
paul,5394
clayton,4892
putin,4490
tom,4472
jesse,4453
david,4340
rick,4270
flynn,4113
pete,4059
kelly,3946
obama,3848
jillian,3837
jenna,3654
vladimir putin,3492
bush,3409
chuck schumer,3332
roy moore,3249
mitch mcconnell,3240
john,3233
jeanine,3153
nancy,3055
steve bannon,2915
bill clinton,2826
comey,2794
john mccain,2752
michael flynn,2674
john roberts,2631
elizabeth,2620
paul ryan,2573
robert mueller,2393
arthel,2383
jeff sessions,2262
kim jong-un,2205
rand paul,2164
reagan,2133
joe,2047
kellyanne conway,1913
john kelly,1895
juan,1799
hillary clinton's,1785
kevin,1770
bernie,1687
kim jong,1656
george w. bush,1598
rex tillerson,1584
god,1579
michael,1513
hillary,1503
anthony,1435
ronald reagan,1423
otezla,1391
matt,1374
susan rice,1362
mike pence,1340
maria,1324
lisa,1299
james,1247
charlie,1204
elizabeth warren,1203
loretta lynch,1199
peter,1181
jared kushner,1163
sarah,1156
andy,1117
mcconnell,1068
martha maccallum,1068
doug jones,1062
julie,1037
president,1011
tom price,1004
jim comey,1003
chris wallace,985
gregg,983
usaa,958
kennedy,942
kim,936
mike flynn,930
sarah huckabee,924
nancy pelosi,922
graham,917
trumps,897
peter doocy,884
scholl,883
jessica,872
dana perino,869
chuck,864
catherine herridge,860
susan collins,857
mccain,794
lindsey graham,788
dan,787
xeljanz xr,782
donald trump's,781
jason,769
max,767
bret baier,766
ed henry,764
devin,754
ben,750
larry,749
bob corker,749
laura,744
sandra smith,740
marco rubio,729
jim,727
jon scott,725
james mattis,715
colin kaepernick,711
charles krauthammer,691
kristin,674
paul manafort,671
marijuana,668
irma,664
nixon,661
bret,656
bernie sanders,656
tucker carlson,650
jonathan,640
john conyers,639
sally,638
heartburn,626
sandra,622
andrew mccabe,616
jennifer griffin,613
donald trump jr.,613
peter strzok,612
dr.,607
betsy devos,606
juan williams,605
joe biden,602
johnson,600
bashar al-assad,599
kristin fisher,595
mick mulvaney,576
melissa,569
james rosen,567
bill,565
jack keane,564
jack,556
christopher,553
laura ingraham,550
john bolton,548
lee,547
jackie,544
♪,543
schumer,541
angela merkel,533
bill o'reilly,531
williams,524
jfk,519
george washington,503
kevin corke,503
jesus,498
harris faulkner,493
kevin brady,490
kellyanne,489
♪  tucker,485
tom brady,484
♪ ♪ ♪,474
john deere,473
steve mnuchin,473
jim jordan,472
robert mueller's,470
mollie,466
william,465
adam,465
neil gorsuch,464
eric bolling,463
al franken,463
scalia,461
mike lee,460
donna brazile,460
kevin mccarthy,452
james comey's,452
ed gillespie,451
john lewis,447
jon:,446
bob mueller,445
tom perez,442
james clapper,440
benjamin netanyahu,437
sarah sanders,435
chairman,428
chris stirewalt,427
janice dean,427
george bush,425
napolitano,421
andrew napolitano,420
maria bartiromo,420
jamie,419
greg,415
steve harrigan,414
tim,413
parker,411
john brennan,410
rich edson,406
ron johnson,404
trulicity,398
richard,396
rick leventhal,396
harry reid,396
warren,395
boris grows mind-blowing,393
brady,390
corey lewandowski,386
matt lauer,380
speaker,378
karl,377
aliskiren,373
karl rove,371
steve scalise,370
eric shawn,364
gillian,364
ben carson,364
chuck grassley,363
wolf,361
mitt romney,359
sean spicer,357
mueller,354
jennifer,354
rob,353
pope francis,350
alex,349
robert,349
al gore,343
katy perry,342
howard kurtz,340
sebastian gorka,339
benjamin hall,337
tom cotton,337
dave,336
john podesta,335
rick scott,334
adam housley,332
cheryl,332
joe manchin,331
doug,329
jonathan hunt,328
jimmy kimmel,327
eric holder,321
andrew jackson,321
badda boom,321
john kerry,319
peter king,315
scott pruitt,314
patrick,314
taylor,314
bob,314
roger,312
julie banderas,312
nikki haley,309
lisa murkowski,309
donald j. trump,307
julie:,306
katie,306
martha.,300
scott,299
carl,296
jim mattis,295
dan bongino,294
al,294
melissa francis,291
greg abbott,290
ed,287
carr,287
john solomon,287
gary,286
ready ♪,285
kate steinle,285
chris christie,284
tillerson,284
garrett tenney,283
jerry,282
jimmy carter,281
rod rosenstein,281
ms-13,279
la quinta,278
jay sekulow,277
namzaric,274
whoooo,273
harvey,273
brian kilmeade,271
doug mckelway,267
jenna lee,267
netanyahu,265
john.,263
christopher steele,261
