PERSON,Count
donald trump,25588
joe biden,16013
joe,10980
elizabeth warren,7939
barr,7705
♪ ♪,7191
nancy,6637
rudy giuliani,6458
mike,5753
robert mueller,5664
michael cohen,5415
trump,5283
kamala harris,4983
chris,4454
bernie,4451
giuliani,4431
hillary clinton,3992
putin,3945
warren,3625
mitch mcconnell,3430
david,3278
clinton,3236
bill barr,3091
nixon,2986
john bolton,2978
♪ liberty,2781
vladimir putin,2495
william barr,2491
john,2291
jeff,2246
paul,2142
chuck,2115
bernie sanders,2103
biden,2090
zelensky,2003
kim jong-un,1991
mavyret,1971
andrea,1925
michael,1826
andrea mitchell,1806
nancy pelosi,1739
jeffrey epstein,1648
bill clinton,1643
otezla,1635
bob mueller,1614
roger stone,1581
maria ramirez,1573
graham,1564
alex,1531
craig,1524
donald trump's,1487
jerry nadler,1475
bolton,1460
joe biden's,1432
bush,1425
robert mueller's,1404
jonathan,1378
cohen,1375
mick mulvaney,1370
don mcgahn,1337
taylor,1323
rick,1303
mcconnell,1260
matt,1211
tom,1170
paul manafort,1149
max,1141
mitt romney,1130
kim,1119
harris,1083
chuck schumer,1076
john mccain,1041
richard nixon,1038
johnson,1032
bill taylor,1029
erdogan,1012
kevin,960
lindsey graham,953
jared kushner,942
xeljanz xr,933
hans nichols,916
joyce,903
usaa,901
boris johnson,882
james comey,881
obama,874
president,854
tim,853
craig melvin,849
peter,834
ben,833
brian,825
steve,816
scholl,811
charlie,806
kelly o'donnell,800
ken,787
julian castro,786
larry,785
donald trump jr.,762
kendis,761
steve kornacki,756
chris matthews,753
michael cohen's,741
pete williams,730
sam,714
tom steyer,712
joyce vance,704
george w. bush,693
mueller,693
michael bloomberg,691
bloomberg,687
david gura,683
hillary clinton's,676
flynn,669
peter baker,660
pete buttigieg,656
reagan,650
don,648
cory booker,645
hallie jackson,643
kellyanne conway,642
eric,641
chris hayes,636
ali velshi,633
mike bloomberg,632
michael flynn,632
al sharpton,630
john smith,617
kelly,615
pete,614
katy,612
jim,603
bill karins,602
alexandria ocasio-cortez,598
acosta,595
michael steele,592
devin,588
richard,574
castro,562
john kelly,555
badda boom,553
mike pence,547
elizabeth,530
jim jordan,530
alex witt,529
jonathan lemire,529
kevin mccarthy,520
ronald reagan,517
susan collins,516
mike barnicle,506
andrew mccabe,501
gordon sondland,501
andrew yang,486
nick,486
sarah,474
stacey abrams,470
chairman,468
hep c.,467
maria,458
stephen miller,450
steve bannon,448
adam schiff,447
hans,445
don jr.,445
katy tur,445
julia ainsley,443
sarah sanders,442
andrew,440
joe biden.,438
christopher,438
jim comey,438
heartburn,437
robert costa,436
john dean,432
al,429
malcolm,426
matt miller,420
dan coats,413
richard engel,408
chris jansing,407
dave,398
brian williams,397
ilhan omar,394
david ignatius,394
john heilemann,388
donald j. trump,386
rick tyler,384
danny cevallos,384
peter alexander,375
mimi,374
jason,373
nadler,372
betsy,370
hallie,368
lawrence o'donnell,367
robert,364
kim jong,364
rick perry,363
kennedy,362
george kent,359
jay inslee,354
alex acosta,353
john kerry,352
chuck rosenberg,352
ken dilanian,342
bill,342
elizabeth warren's,337
phil,332
jesus,331
ali,330
my hep c.,330
glenn,327
god,326
mark zuckerberg,319
jeff bezos,315
jason johnson,314
marco rubio,311
marijuana,308
steve bullock,308
bill de blasio,307
jon meacham,307
omar,306
susan,305
steve mnuchin,304
jackson,304
jeff bennett,300
jimmy carter,299
patrick,297
jordan,297
benjamin netanyahu,295
john hickenlooper,292
george,291
hyde,290
mulvaney,284
ruth,282
bob mueller's,279
ralph northam,277
rudy giuliani's,277
corey,276
voya,276
jeremy bash,275
eugene robinson,274
mnuchin,274
netanyahu,272
lawrence,272
rand paul,271
dan,270
♪ applebee's,269
marie yovanovitch,267
barbara,266
beth,265
tom winter,260
hill,259
steven miller,257
chris murphy,257
roger,257
john brennan,255
mike flynn,254
danny,253
jeffrey epstein's,252
mar-a-lago,252
jim mattis,251
howard schultz,250
macron,249
martin,247
david jolly,246
john lewis,246
harry,245
♪ safelite repair,242
susan del percio,242
jack,240
james,240
morrison,240
claire mccaskill,240
mccarthy,240
jamie,240
george conway,239
paul butler,238
paul manafort's,238
kirby,236
bill neely,236
jeff mason,236
john delaney,235
steve king,234
stelara®,231
fiona hill,230
schumer,230
matt bradley,230
john durham,228
paul ryan,228
jeb bush,228
william barr's,226
tim morrison,226
joy,226
susan page,226
tim ryan,226
john harwood,224
kristen welker,224
lee,223
eric swalwell,222
ron johnson,221
mcgahn,218
michelle,218
rod rosenstein,217
jonathan allen,215
lisa murkowski,215
stephanie,214
ron,214
romney,213
♪ ♪ applebee's,213
kendis gibson,213
michael bennet,212
ali vitali,212
dr.,211
hillary,211
donny deutsch,211
sam stein,210
barbara mcquade,210
anthony,209
carol lee,209
williams,208
george bush,207
yang,207
comey,206
john bolton's,206
mitch mcconnell's,205
john roberts,204
david holmes,203
bill barr's,203
eugene scott,202
fisher,202
♪♪,202
eric holder,201
jeff sessions,200
raids,199
matt bevin,198
jonathan swan,198
matt whitaker,198
corey lewandowski,197
cheney,197
jacob soboroff,197
wilbur ross,195
andrew johnson,195
free wi-fi,194
mike memoli,193
clean,192
alex.,192
andy,192
joe walsh,191
zara larsson - ',188
michael moore,187
mark sanford,186
bill weld,185
george washington,184
alexander vindman,184
bevin,182
ed,182
mark esper,181
x1,181
manafort,179
cynthia,178
carter,178
ashley parker,177
nancy pelosi's,177
mike allen,177
jennifer,175
murphy,175
jake sherman,174
mark warner,174
joy reid,174
jared kushner's,174
gillette,173
larry kudlow,172
eric garner,172
ross,172
ken starr,172
wendy sherman,172
epstein,171
dean,170
stone,169
rick wilson,167
mariana,166
al gore,166
carl,166
vladimir putin's,166
betsy woodruff,165
michelle obama,164
sarah huckabee,164
bin laden,164
doug jones,164
lucy,163
dr pepper,163
neil,163
courtney kube,162
janssen,162
george papadopoulos,162
zuckerberg,161
osama bin laden,161
jon stewart,160
katie,160
kushner,160
john kennedy,159
trulicity,159
elliott,159
♪ corey,158
george h.w.,158
william,158
jay powell,155
tom perez,155
george stephanopoulos,155
whitaker,154
trumps,153
litvinenko,152
aaron,152
john cornyn,152
julia,151
mark harris,151
bob,151
hallie.,150
donna,150
michael jackson,148
roy moore,148
hilton,148
landry,148
barry,147
ayman mohyeldin,147
tim kaine,147
tim o'brien,147
allen weisselberg,147
geoff bennett,146
chris christie,146
richard burr,144
bert,144
michael bennett,144
liberty m... am,144
jim clyburn,143
hannah,143
angela merkel,143
kristen bell,142
martha,142
andy mccabe,142
lisa,141
chris wallace,141
mohyeldin,141
hisamitsu,141
♪ ♪ ♪,140
tom nichols,140
liberty mu... line,140
ellis,140
roberts,140
seth moulton,139
kasie hunt,139
matthew whitaker,139
karen,139
donna edwards,138
jennifer williams,138
kerry,137
david duke,137
maduro,137
jay sekulow,136
salonpas lidocaine,136
senator harris,135
bob costa,135
kamala harris',135
ron klain,134
jeffrey,134
apps,134
chris coons,134
amy klobuchar,133
karl,132
xi,131
duncan,131
cal perry,131
al green,130
jonathan capehart,130
john meacham,129
marianne williamson,128
phil rucker,128
glenn kirschner,128
josh,127
♪ -,127
jerome powell,126
katie porter,126
harry litman,126
♪ ♪ ahhh,126
jerry,125
michelle goldberg,125
kellyanne,124
sally,123
josh letterman,123
vice,122
klobuchar,122
melanie,122
chuck grassley,122
dana,122
abby,122
corey booker,121
deval patrick,120
diane,119
♪ safelite replace,119
rachel,119
lanny davis,118
sondland,118
richard blumenthal,118
bennett,117
martin luther,117
tucker carlson,117
michael avenatti,116
rex tillerson,116
kirstjen nielsen,116
patrick shanahan,116
ben collins,115
jamie raskin,115
william taylor,115
brett,115
barbara mcquaid,114
michael schmidt,114
brexit,114
davis,114
tammy,114
john boehner,113
chuck todd,113
austin,113
dennis quaid,113
smart kid,112
margaret,112
eric trump,112
alan,112
abraham lincoln,111
evan,111
robert kraft,111
ron allen,111
justin trudeau,111
basil,110
hamilton,110
joaquin castro,110
doug,109
mayor,109
courtney,109
maya wiley,109
sandwich;m,108
roger stone's,108
ben sasse,108
bill shine,108
maria butina,108
dara brown,108
wayne lapierre,107
colin kaepernick,107
jacob,107
mccain,107
steve cohen,107
richard haas,106
aaron blake,106
khanna,105
lindsay graham,105
nicolas maduro,105
steve rattner,105
doug collins,105
jessica,105
jim vandehei,105
harry reid,105
ken delaney,104
gene robinson,104
douglas,104
kamala,104
miguel,104
katty kay,104
michael mcfaul,104
randy,104
emmanuel macron,103
michelle grossman,103
new sriracha-honey,103
bill kristol,103
hepatitis c. man 1:,103
pence,102
pagas lo,102
monica,102
howard dean,102
vindman,102
thomas,101
kristin,101
d.c,100
c.,100
barbara bush,100
bobby,100
garrett,99
joseph,99
don mcgahn's,99
holmes,99
lebron james,98
♪ bum-pa-dum,98
joan lunden,98
donald,98
chris lu,98
liberty ♪,98
john dingell,98
katie hill,98
melissa,97
jfk,97
madison,97
john ratcliffe,97
nick confessore,96
ann coulter,96
sharpton,96
james mattis,96
