NORP,Count,Network,Year
chinese,2543,CNBC,2024
american,2279,CNBC,2024
european,1527,CNBC,2024
americans,1015,CNBC,2024
republicans,686,CNBC,2024
democrats,561,CNBC,2024
republican,511,CNBC,2024
french,458,CNBC,2024
russian,408,CNBC,2024
german,394,CNBC,2024
japanese,354,CNBC,2024
israeli,329,CNBC,2024
iranian,227,CNBC,2024
creepy,196,CNBC,2024
canadian,181,CNBC,2024
british,171,CNBC,2024
asian,170,CNBC,2024
democrat,136,CNBC,2024
jewish,116,CNBC,2024
italian,112,CNBC,2024
swiss,108,CNBC,2024
dutch,108,CNBC,2024
palestinian,97,CNBC,2024
palestinians,96,CNBC,2024
ferrari,96,CNBC,2024
israelis,95,CNBC,2024
norwegian,83,CNBC,2024
democratic,83,CNBC,2024
indian,81,CNBC,2024
russians,81,CNBC,2024
north american,78,CNBC,2024
spanish,72,CNBC,2024
europeans,72,CNBC,2024
iranians,70,CNBC,2024
saudi,68,CNBC,2024
thai,56,CNBC,2024
dovish,47,CNBC,2024
christian,47,CNBC,2024
permian,43,CNBC,2024
arab,41,CNBC,2024
mexican,40,CNBC,2024
taiwanese,39,CNBC,2024
jews,37,CNBC,2024
australian,37,CNBC,2024
obese,36,CNBC,2024
swedish,32,CNBC,2024
sean,30,CNBC,2024
african,28,CNBC,2024
hawaiian,26,CNBC,2024
portuguese,26,CNBC,2024
russian,8575,CNBC,2022
american,5221,CNBC,2022
chinese,4414,CNBC,2022
americans,2928,CNBC,2022
european,2301,CNBC,2022
democrats,2227,CNBC,2022
republicans,2031,CNBC,2022
russians,1874,CNBC,2022
republican,1526,CNBC,2022
british,731,CNBC,2022
german,724,CNBC,2022
french,536,CNBC,2022
democrat,383,CNBC,2022
democratic,357,CNBC,2022
japanese,352,CNBC,2022
asian,348,CNBC,2022
ukrainian,292,CNBC,2022
italian,285,CNBC,2022
norwegian,283,CNBC,2022
saudi,281,CNBC,2022
dutch,272,CNBC,2022
europeans,259,CNBC,2022
canadian,251,CNBC,2022
hispanic,221,CNBC,2022
iranian,217,CNBC,2022
ian,203,CNBC,2022
swiss,155,CNBC,2022
cuban,153,CNBC,2022
soviet,138,CNBC,2022
christian,133,CNBC,2022
spanish,129,CNBC,2022
australian,126,CNBC,2022
north american,118,CNBC,2022
germans,116,CNBC,2022
dovish,114,CNBC,2022
jurassic,111,CNBC,2022
afghan,106,CNBC,2022
mexican,105,CNBC,2022
israeli,104,CNBC,2022
polish,104,CNBC,2022
jd.com,100,CNBC,2022
ferrari,96,CNBC,2022
permian,87,CNBC,2022
indian,80,CNBC,2022
afghans,74,CNBC,2022
jewish,71,CNBC,2022
q3,66,CNBC,2022
sean,65,CNBC,2022
wean,65,CNBC,2022
marriott,63,CNBC,2022
chinese,6259,CNBC,2015
european,5667,CNBC,2015
american,4850,CNBC,2015
greek,4664,CNBC,2015
german,2491,CNBC,2015
republican,1989,CNBC,2015
americans,1887,CNBC,2015
french,1883,CNBC,2015
russian,1439,CNBC,2015
republicans,1381,CNBC,2015
democrats,938,CNBC,2015
japanese,878,CNBC,2015
asian,750,CNBC,2015
canadian,629,CNBC,2015
swiss,615,CNBC,2015
italian,557,CNBC,2015
british,544,CNBC,2015
iranian,495,CNBC,2015
germans,487,CNBC,2015
islamic,408,CNBC,2015
cuban,400,CNBC,2015
russians,391,CNBC,2015
saudi,380,CNBC,2015
europeans,353,CNBC,2015
spanish,329,CNBC,2015
dutch,314,CNBC,2015
clinicians,310,CNBC,2015
indian,286,CNBC,2015
north american,286,CNBC,2015
ferrari,278,CNBC,2015
syrian,272,CNBC,2015
democrat,266,CNBC,2015
mexican,265,CNBC,2015
democratic,246,CNBC,2015
israeli,242,CNBC,2015
iraqi,199,CNBC,2015
brazilian,198,CNBC,2015
iranians,179,CNBC,2015
experian,160,CNBC,2015
australian,156,CNBC,2015
irish,150,CNBC,2015
arab,150,CNBC,2015
muslims,149,CNBC,2015
dovish,145,CNBC,2015
xc60,145,CNBC,2015
muslim,139,CNBC,2015
swedish,124,CNBC,2015
turkish,110,CNBC,2015
christian,109,CNBC,2015
ian,106,CNBC,2015
chinese,10615,CNBC,2019
american,5811,CNBC,2019
european,3844,CNBC,2019
democrats,3106,CNBC,2019
americans,1654,CNBC,2019
german,1513,CNBC,2019
republicans,1325,CNBC,2019
british,1074,CNBC,2019
french,1015,CNBC,2019
republican,812,CNBC,2019
italian,701,CNBC,2019
japanese,693,CNBC,2019
iranian,608,CNBC,2019
asian,582,CNBC,2019
democrat,578,CNBC,2019
saudi,556,CNBC,2019
democratic,514,CNBC,2019
russian,507,CNBC,2019
dutch,495,CNBC,2019
mexican,414,CNBC,2019
canadian,387,CNBC,2019
europeans,321,CNBC,2019
cme,289,CNBC,2019
russians,233,CNBC,2019
north american,229,CNBC,2019
irish,206,CNBC,2019
iranians,176,CNBC,2019
permian,173,CNBC,2019
ethiopian,165,CNBC,2019
swiss,151,CNBC,2019
north korean,146,CNBC,2019
sean,139,CNBC,2019
spanish,136,CNBC,2019
dovish,125,CNBC,2019
australian,123,CNBC,2019
norwegian,119,CNBC,2019
israeli,118,CNBC,2019
germans,118,CNBC,2019
greek,110,CNBC,2019
christian,109,CNBC,2019
indian,107,CNBC,2019
african,105,CNBC,2019
ian,103,CNBC,2019
african-american,96,CNBC,2019
jean,95,CNBC,2019
english,87,CNBC,2019
note10,87,CNBC,2019
turkish,77,CNBC,2019
south korean,77,CNBC,2019
brazilian,71,CNBC,2019
american,6067,CNBC,2016
european,5512,CNBC,2016
chinese,4619,CNBC,2016
republican,4110,CNBC,2016
republicans,3124,CNBC,2016
americans,2434,CNBC,2016
democrats,2235,CNBC,2016
british,1880,CNBC,2016
japanese,1815,CNBC,2016
german,1684,CNBC,2016
italian,1452,CNBC,2016
french,1225,CNBC,2016
russian,1115,CNBC,2016
asian,739,CNBC,2016
democratic,701,CNBC,2016
democrat,670,CNBC,2016
mexican,612,CNBC,2016
cuban,533,CNBC,2016
saudi,498,CNBC,2016
canadian,468,CNBC,2016
russians,439,CNBC,2016
islamic,338,CNBC,2016
iranian,329,CNBC,2016
iranians,311,CNBC,2016
greek,264,CNBC,2016
syrian,258,CNBC,2016
swiss,248,CNBC,2016
north american,247,CNBC,2016
europeans,246,CNBC,2016
spanish,235,CNBC,2016
irish,227,CNBC,2016
brazilian,221,CNBC,2016
muslims,201,CNBC,2016
belgian,199,CNBC,2016
muslim,197,CNBC,2016
dutch,195,CNBC,2016
clinicians,175,CNBC,2016
african-american,168,CNBC,2016
sean,167,CNBC,2016
iraqi,156,CNBC,2016
indian,155,CNBC,2016
israeli,153,CNBC,2016
germans,145,CNBC,2016
turkish,145,CNBC,2016
australian,140,CNBC,2016
egyptian,139,CNBC,2016
cme,133,CNBC,2016
christian,130,CNBC,2016
ian,128,CNBC,2016
hispanic,121,CNBC,2016
american,5562,CNBC,2014
european,4868,CNBC,2014
chinese,4136,CNBC,2014
russian,4085,CNBC,2014
americans,2299,CNBC,2014
german,2180,CNBC,2014
republicans,1908,CNBC,2014
french,1797,CNBC,2014
japanese,1349,CNBC,2014
democrats,1150,CNBC,2014
republican,1143,CNBC,2014
russians,986,CNBC,2014
italian,861,CNBC,2014
british,826,CNBC,2014
asian,692,CNBC,2014
iraqi,642,CNBC,2014
canadian,611,CNBC,2014
spanish,567,CNBC,2014
malaysian,504,CNBC,2014
israeli,460,CNBC,2014
greek,378,CNBC,2014
australian,351,CNBC,2014
europeans,351,CNBC,2014
north american,338,CNBC,2014
indian,322,CNBC,2014
democrat,299,CNBC,2014
dutch,298,CNBC,2014
mexican,296,CNBC,2014
germans,282,CNBC,2014
cuban,278,CNBC,2014
islamic,253,CNBC,2014
scottish,236,CNBC,2014
swiss,217,CNBC,2014
brazilian,202,CNBC,2014
pro-russian,202,CNBC,2014
sunni,198,CNBC,2014
irish,196,CNBC,2014
democratic,183,CNBC,2014
saudi,181,CNBC,2014
portuguese,181,CNBC,2014
iranian,180,CNBC,2014
israelis,174,CNBC,2014
egyptian,166,CNBC,2014
db,156,CNBC,2014
experian,151,CNBC,2014
kurds,146,CNBC,2014
ian,146,CNBC,2014
palestinians,145,CNBC,2014
kurdish,142,CNBC,2014
syrian,125,CNBC,2014
american,6385,CNBC,2012
european,6290,CNBC,2012
republicans,4476,CNBC,2012
spanish,3934,CNBC,2012
chinese,3706,CNBC,2012
americans,3594,CNBC,2012
greek,3080,CNBC,2012
republican,3031,CNBC,2012
democrats,2813,CNBC,2012
german,2216,CNBC,2012
italian,1526,CNBC,2012
french,1430,CNBC,2012
japanese,1285,CNBC,2012
asian,951,CNBC,2012
germans,699,CNBC,2012
british,675,CNBC,2012
democrat,638,CNBC,2012
australian,513,CNBC,2012
europeans,495,CNBC,2012
canadian,475,CNBC,2012
democratic,415,CNBC,2012
dutch,375,CNBC,2012
iranian,364,CNBC,2012
russian,352,CNBC,2012
north american,273,CNBC,2012
israeli,271,CNBC,2012
indian,260,CNBC,2012
mexican,236,CNBC,2012
sean,221,CNBC,2012
swiss,210,CNBC,2012
cme,179,CNBC,2012
aig,150,CNBC,2012
iranians,144,CNBC,2012
irish,143,CNBC,2012
saudi,140,CNBC,2012
brazilian,139,CNBC,2012
arab,133,CNBC,2012
african,126,CNBC,2012
israelis,125,CNBC,2012
portuguese,121,CNBC,2012
prevacid24hr,120,CNBC,2012
russians,116,CNBC,2012
italians,108,CNBC,2012
korean,108,CNBC,2012
egyptian,108,CNBC,2012
hispanic,107,CNBC,2012
south korean,91,CNBC,2012
ian,83,CNBC,2012
muslim,82,CNBC,2012
cuban,81,CNBC,2012
american,6634,CNBC,2020
chinese,5222,CNBC,2020
americans,4609,CNBC,2020
democrats,3848,CNBC,2020
republicans,2953,CNBC,2020
european,2313,CNBC,2020
republican,1686,CNBC,2020
french,987,CNBC,2020
german,973,CNBC,2020
british,724,CNBC,2020
democrat,636,CNBC,2020
democratic,628,CNBC,2020
sean,575,CNBC,2020
japanese,553,CNBC,2020
asian,529,CNBC,2020
iranian,488,CNBC,2020
italian,451,CNBC,2020
norwegian,435,CNBC,2020
russians,359,CNBC,2020
russian,324,CNBC,2020
african-american,296,CNBC,2020
spanish,259,CNBC,2020
greek,233,CNBC,2020
saudi,231,CNBC,2020
african-americans,207,CNBC,2020
canadian,175,CNBC,2020
iranians,169,CNBC,2020
europeans,159,CNBC,2020
cuban,154,CNBC,2020
hispanic,136,CNBC,2020
north american,128,CNBC,2020
dutch,111,CNBC,2020
ian,106,CNBC,2020
christian,105,CNBC,2020
swiss,105,CNBC,2020
iraqi,104,CNBC,2020
australian,101,CNBC,2020
lebanese,98,CNBC,2020
adrian,94,CNBC,2020
mexican,90,CNBC,2020
african,88,CNBC,2020
germans,82,CNBC,2020
reese,76,CNBC,2020
marriott,73,CNBC,2020
israeli,66,CNBC,2020
indian,65,CNBC,2020
permian,65,CNBC,2020
hawaiian,63,CNBC,2020
laggards,59,CNBC,2020
irish,59,CNBC,2020
chinese,5531,CNBC,2023
american,4297,CNBC,2023
european,2751,CNBC,2023
republicans,2522,CNBC,2023
americans,1840,CNBC,2023
democrats,1619,CNBC,2023
republican,1204,CNBC,2023
russian,995,CNBC,2023
german,794,CNBC,2023
israeli,688,CNBC,2023
french,537,CNBC,2023
japanese,525,CNBC,2023
asian,467,CNBC,2023
saudi,348,CNBC,2023
swiss,333,CNBC,2023
sean,317,CNBC,2023
italian,313,CNBC,2023
spanish,279,CNBC,2023
democrat,265,CNBC,2023
canadian,264,CNBC,2023
british,262,CNBC,2023
creepy,237,CNBC,2023
palestinians,233,CNBC,2023
palestinian,228,CNBC,2023
jewish,213,CNBC,2023
israelis,203,CNBC,2023
russians,178,CNBC,2023
dutch,176,CNBC,2023
north american,168,CNBC,2023
iranian,167,CNBC,2023
indian,162,CNBC,2023
hispanic,161,CNBC,2023
democratic,157,CNBC,2023
hawaiian,152,CNBC,2023
norwegian,141,CNBC,2023
europeans,131,CNBC,2023
permian,125,CNBC,2023
mexican,117,CNBC,2023
dovish,112,CNBC,2023
arab,98,CNBC,2023
australian,97,CNBC,2023
jews,94,CNBC,2023
ferrari,94,CNBC,2023
christian,84,CNBC,2023
taiwanese,81,CNBC,2023
q3,75,CNBC,2023
african,72,CNBC,2023
ian,71,CNBC,2023
laggards,65,CNBC,2023
cuban,58,CNBC,2023
chinese,8913,CNBC,2018
american,5862,CNBC,2018
european,4260,CNBC,2018
democrats,2844,CNBC,2018
republicans,2094,CNBC,2018
americans,1659,CNBC,2018
italian,1572,CNBC,2018
russian,1399,CNBC,2018
german,1309,CNBC,2018
republican,1191,CNBC,2018
british,1063,CNBC,2018
canadian,970,CNBC,2018
french,936,CNBC,2018
saudi,923,CNBC,2018
iranian,810,CNBC,2018
japanese,744,CNBC,2018
asian,639,CNBC,2018
russians,573,CNBC,2018
north korean,535,CNBC,2018
democrat,480,CNBC,2018
europeans,437,CNBC,2018
mexican,421,CNBC,2018
korean,388,CNBC,2018
north american,282,CNBC,2018
cme,263,CNBC,2018
democratic,238,CNBC,2018
south korean,231,CNBC,2018
iranians,211,CNBC,2018
north koreans,201,CNBC,2018
koreans,193,CNBC,2018
turkish,183,CNBC,2018
dutch,182,CNBC,2018
spanish,179,CNBC,2018
jean,163,CNBC,2018
australian,152,CNBC,2018
irish,148,CNBC,2018
israeli,146,CNBC,2018
swiss,135,CNBC,2018
syrian,135,CNBC,2018
indian,134,CNBC,2018
germans,129,CNBC,2018
ultra-max,125,CNBC,2018
italians,123,CNBC,2018
permian,121,CNBC,2018
sean,121,CNBC,2018
norwegian,119,CNBC,2018
canadians,115,CNBC,2018
ian,114,CNBC,2018
african-american,114,CNBC,2018
brazilian,92,CNBC,2018
american,6815,CNBC,2013
european,4620,CNBC,2013
republicans,4576,CNBC,2013
chinese,4135,CNBC,2013
americans,3013,CNBC,2013
democrats,2633,CNBC,2013
japanese,2399,CNBC,2013
republican,1975,CNBC,2013
german,1789,CNBC,2013
italian,1690,CNBC,2013
french,1437,CNBC,2013
spanish,1056,CNBC,2013
asian,1036,CNBC,2013
british,1031,CNBC,2013
russian,922,CNBC,2013
syrian,565,CNBC,2013
canadian,501,CNBC,2013
democrat,494,CNBC,2013
russians,490,CNBC,2013
peruvian,490,CNBC,2013
greek,478,CNBC,2013
north american,433,CNBC,2013
australian,417,CNBC,2013
indian,373,CNBC,2013
democratic,357,CNBC,2013
germans,279,CNBC,2013
europeans,279,CNBC,2013
muslim,278,CNBC,2013
egyptian,278,CNBC,2013
swiss,275,CNBC,2013
mexican,234,CNBC,2013
dutch,217,CNBC,2013
aig,210,CNBC,2013
iranian,208,CNBC,2013
irish,183,CNBC,2013
brazilian,157,CNBC,2013
sean,157,CNBC,2013
arab,156,CNBC,2013
korean,154,CNBC,2013
israeli,152,CNBC,2013
cme,144,CNBC,2013
christian,142,CNBC,2013
norwegian,139,CNBC,2013
south korean,132,CNBC,2013
portuguese,127,CNBC,2013
thai,108,CNBC,2013
italians,107,CNBC,2013
iranians,106,CNBC,2013
english,102,CNBC,2013
ferrari,101,CNBC,2013
american,7509,CNBC,2017
republicans,5664,CNBC,2017
european,4114,CNBC,2017
democrats,3866,CNBC,2017
chinese,3369,CNBC,2017
republican,3296,CNBC,2017
americans,2549,CNBC,2017
russian,2123,CNBC,2017
french,2068,CNBC,2017
german,1645,CNBC,2017
british,1316,CNBC,2017
japanese,975,CNBC,2017
russians,832,CNBC,2017
sean,751,CNBC,2017
democrat,662,CNBC,2017
north korean,615,CNBC,2017
asian,609,CNBC,2017
canadian,546,CNBC,2017
italian,531,CNBC,2017
mexican,526,CNBC,2017
saudi,508,CNBC,2017
spanish,460,CNBC,2017
democratic,448,CNBC,2017
cuban,378,CNBC,2017
dutch,327,CNBC,2017
irish,294,CNBC,2017
syrian,289,CNBC,2017
korean,286,CNBC,2017
north american,281,CNBC,2017
muslim,253,CNBC,2017
south korean,239,CNBC,2017
israeli,229,CNBC,2017
iranian,227,CNBC,2017
indian,220,CNBC,2017
europeans,189,CNBC,2017
greek,172,CNBC,2017
arab,171,CNBC,2017
swiss,168,CNBC,2017
islamic,163,CNBC,2017
germans,163,CNBC,2017
north koreans,159,CNBC,2017
koreans,153,CNBC,2017
palestinians,144,CNBC,2017
australian,142,CNBC,2017
iraqi,137,CNBC,2017
cme,136,CNBC,2017
christian,132,CNBC,2017
palestinian,124,CNBC,2017
ian,117,CNBC,2017
jean,115,CNBC,2017
american,6628,CNBC,2021
americans,5556,CNBC,2021
chinese,4656,CNBC,2021
democrats,4380,CNBC,2021
republicans,3170,CNBC,2021
republican,2157,CNBC,2021
european,1344,CNBC,2021
russian,771,CNBC,2021
afghan,686,CNBC,2021
canadian,613,CNBC,2021
democrat,612,CNBC,2021
french,586,CNBC,2021
democratic,514,CNBC,2021
british,501,CNBC,2021
german,463,CNBC,2021
asian,428,CNBC,2021
norwegian,425,CNBC,2021
afghans,419,CNBC,2021
japanese,326,CNBC,2021
israeli,318,CNBC,2021
italian,263,CNBC,2021
south african,254,CNBC,2021
hispanic,233,CNBC,2021
russians,219,CNBC,2021
greek,206,CNBC,2021
dutch,190,CNBC,2021
north american,164,CNBC,2021
spanish,163,CNBC,2021
sean,134,CNBC,2021
asian-american,131,CNBC,2021
cuban,130,CNBC,2021
christian,127,CNBC,2021
saudi,123,CNBC,2021
australian,113,CNBC,2021
europeans,112,CNBC,2021
mexican,111,CNBC,2021
haitian,111,CNBC,2021
asian-americans,109,CNBC,2021
african-american,106,CNBC,2021
african,106,CNBC,2021
texans,105,CNBC,2021
indian,94,CNBC,2021
iranian,93,CNBC,2021
korean,91,CNBC,2021
j&j,90,CNBC,2021
palestinians,84,CNBC,2021
marriott,78,CNBC,2021
swiss,76,CNBC,2021
hawaiian,73,CNBC,2021
palestinian,69,CNBC,2021
republicans,59139,MSNBC,2023
republican,47327,MSNBC,2023
american,34489,MSNBC,2023
democrats,28806,MSNBC,2023
americans,20994,MSNBC,2023
israeli,16308,MSNBC,2023
russian,10959,MSNBC,2023
democratic,6745,MSNBC,2023
palestinian,5955,MSNBC,2023
israelis,5917,MSNBC,2023
palestinians,5356,MSNBC,2023
democrat,5252,MSNBC,2023
chinese,5182,MSNBC,2023
russians,3600,MSNBC,2023
jewish,3418,MSNBC,2023
sean,2472,MSNBC,2023
christian,1962,MSNBC,2023
arab,1698,MSNBC,2023
jews,1647,MSNBC,2023
iranian,1638,MSNBC,2023
british,1181,MSNBC,2023
creepy,1174,MSNBC,2023
european,1174,MSNBC,2023
african,1092,MSNBC,2023
asian,1013,MSNBC,2023
spanish,1008,MSNBC,2023
muslim,920,MSNBC,2023
mexican,838,MSNBC,2023
french,830,MSNBC,2023
african american,783,MSNBC,2023
canadian,675,MSNBC,2023
hispanic,605,MSNBC,2023
german,591,MSNBC,2023
egyptian,580,MSNBC,2023
latin,577,MSNBC,2023
ukrainian,538,MSNBC,2023
iranians,495,MSNBC,2023
saudi,474,MSNBC,2023
nazi,461,MSNBC,2023
cyp3a4,459,MSNBC,2023
islamic,429,MSNBC,2023
italian,422,MSNBC,2023
christians,383,MSNBC,2023
muslims,372,MSNBC,2023
japanese,363,MSNBC,2023
australian,362,MSNBC,2023
statin,360,MSNBC,2023
indian,355,MSNBC,2023
jean,332,MSNBC,2023
egyptians,331,MSNBC,2023
republican,34188,MSNBC,2016
republicans,24752,MSNBC,2016
american,20503,MSNBC,2016
democrats,18255,MSNBC,2016
americans,10962,MSNBC,2016
african-american,4915,MSNBC,2016
democratic,4803,MSNBC,2016
democrat,4597,MSNBC,2016
russian,3577,MSNBC,2016
muslim,3273,MSNBC,2016
african-americans,2741,MSNBC,2016
muslims,2664,MSNBC,2016
hispanic,2087,MSNBC,2016
russians,1925,MSNBC,2016
mexican,1692,MSNBC,2016
islamic,1442,MSNBC,2016
french,1408,MSNBC,2016
european,1101,MSNBC,2016
christian,1070,MSNBC,2016
sean,994,MSNBC,2016
cuban,968,MSNBC,2016
chinese,956,MSNBC,2016
british,938,MSNBC,2016
syrian,922,MSNBC,2016
iranian,921,MSNBC,2016
hispanics,859,MSNBC,2016
african,790,MSNBC,2016
jewish,717,MSNBC,2016
israeli,693,MSNBC,2016
egyptian,633,MSNBC,2016
iraqi,607,MSNBC,2016
belgian,567,MSNBC,2016
spanish,532,MSNBC,2016
mexicans,513,MSNBC,2016
islam,510,MSNBC,2016
german,502,MSNBC,2016
iranians,499,MSNBC,2016
claritin,461,MSNBC,2016
canadian,452,MSNBC,2016
italian,405,MSNBC,2016
palestinians,405,MSNBC,2016
asian,374,MSNBC,2016
japanese,370,MSNBC,2016
arab,361,MSNBC,2016
palestinian,359,MSNBC,2016
catholic,313,MSNBC,2016
israelis,307,MSNBC,2016
d.,302,MSNBC,2016
greek,301,MSNBC,2016
christians,296,MSNBC,2016
republicans,54882,MSNBC,2022
russian,45065,MSNBC,2022
democrats,43333,MSNBC,2022
republican,42404,MSNBC,2022
american,32775,MSNBC,2022
americans,21295,MSNBC,2022
russians,16490,MSNBC,2022
democratic,8012,MSNBC,2022
democrat,6882,MSNBC,2022
british,3567,MSNBC,2022
european,3476,MSNBC,2022
french,2318,MSNBC,2022
chinese,2273,MSNBC,2022
ukrainian,1981,MSNBC,2022
christian,1911,MSNBC,2022
jewish,1716,MSNBC,2022
polish,1434,MSNBC,2022
iranian,1293,MSNBC,2022
sean,1210,MSNBC,2022
soviet,1185,MSNBC,2022
african,1166,MSNBC,2022
hispanic,1102,MSNBC,2022
german,998,MSNBC,2022
italian,891,MSNBC,2022
europeans,822,MSNBC,2022
spanish,801,MSNBC,2022
jews,784,MSNBC,2022
asian,742,MSNBC,2022
statin,717,MSNBC,2022
nazi,669,MSNBC,2022
israeli,653,MSNBC,2022
canadian,585,MSNBC,2022
saudi,583,MSNBC,2022
raphael,574,MSNBC,2022
ian,551,MSNBC,2022
african american,535,MSNBC,2022
texans,523,MSNBC,2022
germans,503,MSNBC,2022
mexican,501,MSNBC,2022
muslim,471,MSNBC,2022
claritin,462,MSNBC,2022
afghan,426,MSNBC,2022
japanese,412,MSNBC,2022
australian,387,MSNBC,2022
cuban,383,MSNBC,2022
irish,358,MSNBC,2022
ukrainians,349,MSNBC,2022
vossoughian,347,MSNBC,2022
iranians,335,MSNBC,2022
indian,334,MSNBC,2022
republicans,67824,MSNBC,2021
democrats,55040,MSNBC,2021
republican,46127,MSNBC,2021
american,42792,MSNBC,2021
americans,33924,MSNBC,2021
democratic,9572,MSNBC,2021
democrat,6683,MSNBC,2021
afghan,5872,MSNBC,2021
russian,5428,MSNBC,2021
afghans,3310,MSNBC,2021
asian,2278,MSNBC,2021
chinese,2149,MSNBC,2021
israeli,1839,MSNBC,2021
texans,1757,MSNBC,2021
african-american,1677,MSNBC,2021
russians,1315,MSNBC,2021
french,1147,MSNBC,2021
british,1121,MSNBC,2021
european,1084,MSNBC,2021
palestinians,1013,MSNBC,2021
hispanic,994,MSNBC,2021
african-americans,986,MSNBC,2021
jewish,946,MSNBC,2021
palestinian,829,MSNBC,2021
muslim,815,MSNBC,2021
asian-americans,793,MSNBC,2021
christian,760,MSNBC,2021
asian-american,726,MSNBC,2021
haitian,725,MSNBC,2021
african,692,MSNBC,2021
israelis,681,MSNBC,2021
cuban,664,MSNBC,2021
sean,662,MSNBC,2021
italian,557,MSNBC,2021
mexican,520,MSNBC,2021
south african,499,MSNBC,2021
anti-asian,486,MSNBC,2021
jews,484,MSNBC,2021
iranian,482,MSNBC,2021
spanish,481,MSNBC,2021
japanese,473,MSNBC,2021
muslims,425,MSNBC,2021
hawaiian,410,MSNBC,2021
islamic,409,MSNBC,2021
norwegian,402,MSNBC,2021
german,384,MSNBC,2021
vossoughian,369,MSNBC,2021
jean,361,MSNBC,2021
statin,360,MSNBC,2021
canadian,341,MSNBC,2021
republican,22008,MSNBC,2015
american,17259,MSNBC,2015
republicans,16948,MSNBC,2015
americans,9915,MSNBC,2015
democrats,9427,MSNBC,2015
french,5385,MSNBC,2015
