ORG,Count,Network,Year
fed,21507,CNBC,2016
cnbc,10043,CNBC,2016
s&p,7917,CNBC,2016
medicare,4778,CNBC,2016
at&t,4615,CNBC,2016
microsoft,3235,CNBC,2016
congress,3233,CNBC,2016
google,2862,CNBC,2016
fbi,2660,CNBC,2016
yahoo,2276,CNBC,2016
apple,2118,CNBC,2016
ibm,2081,CNBC,2016
wells fargo,1999,CNBC,2016
the white house,1948,CNBC,2016
senate,1877,CNBC,2016
morgan stanley,1745,CNBC,2016
the new york stock exchange,1693,CNBC,2016
deutsche bank,1668,CNBC,2016
fidelity,1592,CNBC,2016
samsung,1502,CNBC,2016
intel,1449,CNBC,2016
ge,1429,CNBC,2016
bank of america,1429,CNBC,2016
ford,1341,CNBC,2016
boeing,1324,CNBC,2016
mcdonald's,1265,CNBC,2016
cbs,1247,CNBC,2016
treasury,1243,CNBC,2016
nbc,1128,CNBC,2016
gop,1123,CNBC,2016
cme,1103,CNBC,2016
the european union,1095,CNBC,2016
nike,1018,CNBC,2016
exxon,958,CNBC,2016
amazon,952,CNBC,2016
viacom,895,CNBC,2016
fda,870,CNBC,2016
gm,850,CNBC,2016
the republican party,817,CNBC,2016
chevron,804,CNBC,2016
caterpillar,779,CNBC,2016
jpmorgan,707,CNBC,2016
aarp medicare supplement,684,CNBC,2016
wilfred,676,CNBC,2016
pg&e,653,CNBC,2016
warner,621,CNBC,2016
capitol hill,616,CNBC,2016
euro,543,CNBC,2016
disney,522,CNBC,2016
state,511,CNBC,2016
fed,24212,CNBC,2015
cnbc,9880,CNBC,2015
s&p,7827,CNBC,2015
ibm,3971,CNBC,2015
google,3671,CNBC,2015
microsoft,3234,CNBC,2015
medicare,3026,CNBC,2015
at&t,2792,CNBC,2015
yahoo,2536,CNBC,2015
congress,2384,CNBC,2015
apple,2254,CNBC,2015
mcdonald's,2193,CNBC,2015
the new york stock exchange,1972,CNBC,2015
ge,1930,CNBC,2015
intel,1680,CNBC,2015
cme,1680,CNBC,2015
ford,1370,CNBC,2015
gm,1268,CNBC,2015
the white house,1251,CNBC,2015
